Name,address,rating ,type,location
Uniform House Inc,1927 N Capitol Ave,4,Uniform store,https://www.google.com/maps/place/Uniform+House+Inc/data=!4m7!3m6!1s0x886b50d8e7900281:0x2bc1bf1ffcdfe947!8m2!3d39.7926141!4d-86.1610729!16s%2Fg%2F1ttdz5p6!19sChIJgQKQ59hQa4gRR-nf_B-_wSs?authuser=0&hl=en&rclk=1
The Shops at Perry Crossing,2499 Perry Crossing Way,4.4,Shopping mall,https://www.google.com/maps/place/The+Shops+at+Perry+Crossing/data=!4m7!3m6!1s0x886ca44a091ddcc5:0xc445905759c1fd0b!8m2!3d39.7110073!4d-86.3587489!16s%2Fg%2F1jlk0hkz7!19sChIJxdwdCUqkbIgRC_3BWVeQRcQ?authuser=0&hl=en&rclk=1
Graceful Lady Boutique,805 E Park St #1,4.8,Boutique,https://www.google.com/maps/place/Graceful+Lady+Boutique/data=!4m7!3m6!1s0x8871dfa62e6415a3:0x5d35dbbe5f305a6c!8m2!3d38.2521496!4d-87.5691839!16s%2Fg%2F1ptym8qy7!19sChIJoxVkLqbfcYgRbFowX77bNV0?authuser=0&hl=en&rclk=1
James Dant - Purveyors of Men's Goods,5624 E Washington St,4.8,Men's clothing store,https://www.google.com/maps/place/James+Dant+-+Purveyors+of+Men's+Goods/data=!4m7!3m6!1s0x886b4f957f20ed89:0xa0f032a8dfcdc56a!8m2!3d39.770916!4d-86.07125!16s%2Fg%2F1pty61g09!19sChIJie0gf5VPa4gRasXN36gy8KA?authuser=0&hl=en&rclk=1
Nurture Baby & Child,433 Massachusetts Ave,4.9,Baby clothing store,https://www.google.com/maps/place/Nurture+Baby+%26+Child/data=!4m7!3m6!1s0x886b5094c93b657f:0xf8b9181741c0d8eb!8m2!3d39.7732471!4d-86.1512751!16s%2Fg%2F1thbxdnx!19sChIJf2U7yZRQa4gR69jAQRcYufg?authuser=0&hl=en&rclk=1
Forever 21,6020 E 82nd St Suite 1515,4,Clothing store,https://www.google.com/maps/place/Forever+21/data=!4m7!3m6!1s0x886b4d30934321e9:0x70386c9ae9538dfc!8m2!3d39.9077813!4d-86.0655386!16s%2Fg%2F1tklr921!19sChIJ6SFDkzBNa4gR_I1T6ZpsOHA?authuser=0&hl=en&rclk=1
All My Relations,7218 Rockville Rd,4.5,Rock shop,https://www.google.com/maps/place/All+My+Relations/data=!4m7!3m6!1s0x886b57c16006cc3d:0x1e4120405d8c07d1!8m2!3d39.7648088!4d-86.2876011!16s%2Fg%2F1td2vn1v!19sChIJPcwGYMFXa4gR0QeMXUAgQR4?authuser=0&hl=en&rclk=1
Walmart Supercenter,10735 Pendleton Pike,3.6,Department store,https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x886b4bb1e7549e6b:0xa18ee36dc284b54!8m2!3d39.858206!4d-85.9759324!16s%2Fg%2F1tjv43b3!19sChIJa55U57FLa4gRVEso3DbuGAo?authuser=0&hl=en&rclk=1
College Mall,2894 E 3rd St,4,Shopping mall,https://www.google.com/maps/place/College+Mall/data=!4m7!3m6!1s0x886c64222b2de15f:0x202a279617b5019b!8m2!3d39.1609464!4d-86.495715!16s%2Fm%2F02w6nlr!19sChIJX-EtKyJkbIgRmwG1F5YnKiA?authuser=0&hl=en&rclk=1
T.J. Maxx & HomeGoods,5520 E 82nd St,4.1,Department store,https://www.google.com/maps/place/T.J.+Maxx+%26+HomeGoods/data=!4m7!3m6!1s0x886b4d480459700d:0xa899851f2a305879!8m2!3d39.906471!4d-86.073932!16s%2Fg%2F1td4w024!19sChIJDXBZBEhNa4gReVgwKh-Fmag?authuser=0&hl=en&rclk=1
Red Barn Antique Mall,215 IN-62,4.5,Antique store,https://www.google.com/maps/place/Red+Barn+Antique+Mall/data=!4m7!3m6!1s0x88693707f837301d:0x439697a7dd00c72c!8m2!3d38.2128277!4d-86.1314694!16s%2Fg%2F1tfvzwvs!19sChIJHTA3-Ac3aYgRLMcA3aeXlkM?authuser=0&hl=en&rclk=1
Greenwood Park Mall,1251 U.S. Hwy 31 N,4.4,Shopping mall,https://www.google.com/maps/place/Greenwood+Park+Mall/data=!4m7!3m6!1s0x886b5ce3951a30dd:0xe42f3bc72bf6c090!8m2!3d39.6335509!4d-86.1220704!16s%2Fm%2F02qjjzw!19sChIJ3TAaleNca4gRkMD2K8c7L-Q?authuser=0&hl=en&rclk=1
Needler's Fresh Market,320 N New Jersey St,4.2,Supermarket,https://www.google.com/maps/place/Needler's+Fresh+Market/data=!4m7!3m6!1s0x886b509489554e59:0xe9f2237d183ec07c!8m2!3d39.7719553!4d-86.1515581!16s%2Fg%2F1tdc5zjx!19sChIJWU5ViZRQa4gRfMA-GH0j8uk?authuser=0&hl=en&rclk=1
Whole Foods Market,320 E Market St,4.5,Grocery store,https://www.google.com/maps/place/Whole+Foods+Market/data=!4m7!3m6!1s0x886b509420c55555:0x71cc698c09e595f6!8m2!3d39.7685127!4d-86.1515246!16s%2Fg%2F11ggr5vgpl!19sChIJVVXFIJRQa4gR9pXlCYxpzHE?authuser=0&hl=en&rclk=1
The Best Chocolate in Town (Pop-Up Store),8702 Keystone Crossing,4.5,Chocolate shop,https://www.google.com/maps/place/The+Best+Chocolate+in+Town+(Pop-Up+Store)/data=!4m7!3m6!1s0x886b50f19a20c7a5:0xac6813dd53d7a42d!8m2!3d39.9146127!4d-86.1112406!16s%2Fg%2F1tdx4wk6!19sChIJpccgmvFQa4gRLaTXU90TaKw?authuser=0&hl=en&rclk=1
Toolbox Men's Supply Company,750 N College Ave,4.8,Men's clothing store,https://www.google.com/maps/place/Toolbox+Men's+Supply+Company/data=!4m7!3m6!1s0x886b50ed952282db:0x700b29c56704b424!8m2!3d39.7770128!4d-86.1453642!16s%2Fg%2F1hhwrkk88!19sChIJ24Iile1Qa4gRJLQEZ8UpC3A?authuser=0&hl=en&rclk=1
Hamilton Town Center,13901 Town Center Blvd,4.5,Shopping mall,https://www.google.com/maps/place/Hamilton+Town+Center/data=!4m7!3m6!1s0x8814ca00028f51db:0xd3f01fe5636eae3a!8m2!3d39.9925861!4d-85.9317646!16s%2Fm%2F0s8z1rd!19sChIJ21GPAgDKFIgROq5uY-Uf8NM?authuser=0&hl=en&rclk=1
JCPenney,6020 E 82nd St Ste 700,4.1,Department store,https://www.google.com/maps/place/JCPenney/data=!4m7!3m6!1s0x886b4d3197f2a2dd:0xdc57ae32688c0647!8m2!3d39.9086769!4d-86.0680464!16s%2Fg%2F1tj5rgz7!19sChIJ3aLylzFNa4gRRwaMaDKuV9w?authuser=0&hl=en&rclk=1
Walmart Supercenter,2001 E 151st St,3.8,Department store,https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x8814ae7a870e7e63:0xa3b37f362ee53b1b!8m2!3d40.0065467!4d-86.1236904!16s%2Fm%2F03nzxfk!19sChIJY34Oh3quFIgRGzvlLjZ_s6M?authuser=0&hl=en&rclk=1
Nordstrom,8702 Keystone Crossing,4.3,Department store,https://www.google.com/maps/place/Nordstrom/data=!4m7!3m6!1s0x886b52b4619a2e51:0x95933d007a2d5e66!8m2!3d39.9151886!4d-86.1115957!16s%2Fm%2F03m258g!19sChIJUS6aYbRSa4gRZl4tegA9k5U?authuser=0&hl=en&rclk=1
Bloomington Antique Mall,311 W 7th St,4.3,Antique store,https://www.google.com/maps/place/Bloomington+Antique+Mall/data=!4m7!3m6!1s0x886c6778be121943:0x2266e61e523ed1c1!8m2!3d39.1684153!4d-86.5366097!16s%2Fg%2F11q23_vyfm!19sChIJQxkSvnhnbIgRwdE-Uh7mZiI?authuser=0&hl=en&rclk=1
Santa Claus Christmas Store,33 North Kringle Place,4.5,Christmas store,https://www.google.com/maps/place/Santa+Claus+Christmas+Store/data=!4m7!3m6!1s0x886e583d029f7af5:0x88c97208ac047428!8m2!3d38.1204306!4d-86.9247076!16s%2Fg%2F11gzfyx89!19sChIJ9XqfAj1YbogRKHQErAhyyYg?authuser=0&hl=en&rclk=1
Gilley's Antique & Decorator Mall,5789 US-40,4.6,Antique store,https://www.google.com/maps/place/Gilley's+Antique+%26+Decorator+Mall/data=!4m7!3m6!1s0x886cbb4b8aa44e5f:0xeff4c61dd79c266d!8m2!3d39.694989!4d-86.423072!16s%2Fg%2F1tcyy52h!19sChIJX06kiku7bIgRbSac1x3G9O8?authuser=0&hl=en&rclk=1
Markland Mall,1114 S Seventeenth St,4.1,Shopping mall,https://www.google.com/maps/place/Markland+Mall/data=!4m7!3m6!1s0x881485218c4c4447:0x14497e04b38f267e!8m2!3d40.473811!4d-86.1093302!16s%2Fm%2F0s8wn99!19sChIJR0RMjCGFFIgRfiaPswR-SRQ?authuser=0&hl=en&rclk=1
Kilwins Indianapolis,530 Massachusetts Ave #110,4.6,Ice Cream,https://www.google.com/maps/place/Kilwins+Indianapolis/data=!4m7!3m6!1s0x886b51c58ec5bfe7:0xe0027fae8c178c1e!8m2!3d39.7745596!4d-86.1500066!16s%2Fg%2F11h0t04707!19sChIJ57_FjsVRa4gRHowXjK5_AuA?authuser=0&hl=en&rclk=1
Kohl's,4850 E Southport Rd,4.3,Department store,https://www.google.com/maps/place/Kohl's/data=!4m7!3m6!1s0x886b4357e5a40fa9:0x5eac94c308dba5f4!8m2!3d39.6678655!4d-86.0860592!16s%2Fg%2F1tfjlwck!19sChIJqQ-k5VdDa4gR9KXbCMOUrF4?authuser=0&hl=en&rclk=1
Orvis,14250 Clay Terrace Blvd,4.6,Clothing store,https://www.google.com/maps/place/Orvis/data=!4m7!3m6!1s0x8814add41fe053fd:0x64450c02558c1e6b!8m2!3d39.9949263!4d-86.129544!16s%2Fg%2F1tm69jsr!19sChIJ_VPgH9StFIgRax6MVQIMRWQ?authuser=0&hl=en&rclk=1
Vendors' Village of Clarksville,706 E Lewis and Clark Pkwy,4.3,Antique store,https://www.google.com/maps/place/Vendors'+Village+of+Clarksville/data=!4m7!3m6!1s0x886972099377274b:0x8c25c72926943867!8m2!3d38.3103376!4d-85.7641858!16s%2Fg%2F11cjg3bpxy!19sChIJSyd3kwlyaYgRZziUJinHJYw?authuser=0&hl=en&rclk=1
Outlet Indianapolis,Horizon Dr,4.4,Shopping mall,https://www.google.com/maps/place/Outlet+Indianapolis/data=!4m7!3m6!1s0x886b74edbb53b1ff:0x7a38aba0373cd327!8m2!3d39.3097088!4d-85.9595429!16s%2Fg%2F11c1p7pj8g!19sChIJ_7FTu-10a4gRJ9M8N6CrOHo?authuser=0&hl=en&rclk=1
The Shops at Fremont,6245 Old U.S. 27,3.9,Outlet store,https://www.google.com/maps/place/The+Shops+at+Fremont/data=!4m7!3m6!1s0x88162bdfe01d6bff:0xe1f4e0737aa268c7!8m2!3d41.7345994!4d-85.0037711!16s%2Fg%2F1wf396hj!19sChIJ_2sd4N8rFogRx2iienPg9OE?authuser=0&hl=en&rclk=1
Columbia Factory Store,11622 NE Executive Dr,4.4,Sportswear store,https://www.google.com/maps/place/Columbia+Factory+Store/data=!4m7!3m6!1s0x886b74ed0f7515fd:0x89a9a3e09682a0df!8m2!3d39.3090539!4d-85.9594603!16s%2Fg%2F1v3dswfq!19sChIJ_RV1D-10a4gR36CCluCjqYk?authuser=0&hl=en&rclk=1
Yoder's Red Barn Shoppes,445 S Van Buren St,4.7,Shopping mall,https://www.google.com/maps/place/Yoder's+Red+Barn+Shoppes/data=!4m7!3m6!1s0x881659681f658125:0xe8610be5008bf7d8!8m2!3d41.6715886!4d-85.5796208!16s%2Fg%2F11r9p4snrw!19sChIJJYFlH2hZFogR2PeLAOULYeg?authuser=0&hl=en&rclk=1
Just What You Need,,2,Craft store,https://www.google.com/maps/place/Just+What+You+Need/data=!4m7!3m6!1s0x886b5107403245c9:0x4823fb98248592d1!8m2!3d28.6478898!4d180!16s%2Fg%2F11j03v546q!19sChIJyUUyQAdRa4gR0ZKFJJj7I0g?authuser=0&hl=en&rclk=1
Gap,8702 Keystone Crossing Space 30A,4.1,Clothing store,https://www.google.com/maps/place/Gap/data=!4m7!3m6!1s0x886b52b4619a2e51:0xa737f5fc1d138e06!8m2!3d39.9146201!4d-86.11124!16s%2Fg%2F1tdpsdly!19sChIJUS6aYbRSa4gRBo4THfz1N6c?authuser=0&hl=en&rclk=1
Nike by Keystone,8701 Keystone Crossing Space 25C,4.5,Sporting goods store,https://www.google.com/maps/place/Nike+by+Keystone/data=!4m7!3m6!1s0x886b53dffaf7b517:0x7de28f6f2eb395b5!8m2!3d39.9138858!4d-86.108717!16s%2Fg%2F11rqz0mxz6!19sChIJF7X3-t9Ta4gRtZWzLm-P4n0?authuser=0&hl=en&rclk=1
Crimson Tate,845 Massachusetts Ave,4.7,Fabric store,https://www.google.com/maps/place/Crimson+Tate/data=!4m7!3m6!1s0x886b50f2033ae123:0x7ccfc597345b7585!8m2!3d39.778533!4d-86.143578!16s%2Fg%2F1hc3452ds!19sChIJI-E6A_JQa4gRhXVbNJfFz3w?authuser=0&hl=en&rclk=1
The Hero House,1112 Prospect St,4.8,Comic book store,https://www.google.com/maps/place/The+Hero+House/data=!4m7!3m6!1s0x886b5a7f55b54567:0x63822491352da0b7!8m2!3d39.7524685!4d-86.1393744!16s%2Fg%2F1vfwdlzy!19sChIJZ0W1VX9aa4gRt6AtNZEkgmM?authuser=0&hl=en&rclk=1
Indiana Premium Outlets,11622 NE Executive Dr,4.4,Outlet mall,https://www.google.com/maps/place/Indiana+Premium+Outlets/data=!4m7!3m6!1s0x886b74ed8792ae57:0x354374864520dd05!8m2!3d39.3100284!4d-85.960819!16s%2Fm%2F03l_y2d!19sChIJV66Sh-10a4gRBd0gRYZ0QzU?authuser=0&hl=en&rclk=1
Ollie's Bargain Outlet,5249 W Thompson Rd,4.3,Discount store,https://www.google.com/maps/place/Ollie's+Bargain+Outlet/data=!4m7!3m6!1s0x886b44c5d15e08c1:0x64f2c9b6bbc0b5c0!8m2!3d39.693135!4d-86.078339!16s%2Fg%2F11b5qsljc1!19sChIJwQhe0cVEa4gRwLXAu7bJ8mQ?authuser=0&hl=en&rclk=1
Banana Republic Factory Store,11721 N Executive Drive Ste B90,4.3,Clothing store,https://www.google.com/maps/place/Banana+Republic+Factory+Store/data=!4m7!3m6!1s0x886b74f257c9ac63:0x91742e470718c9c0!8m2!3d39.3088348!4d-85.9618919!16s%2Fg%2F1tjtk02y!19sChIJY6zJV_J0a4gRwMkYB0cudJE?authuser=0&hl=en&rclk=1
Saraga International Grocery,3605 Commercial Dr,4.3,Grocery store,https://www.google.com/maps/place/Saraga+International+Grocery/data=!4m7!3m6!1s0x886b5669d4c27fb5:0x5f7b5a23906aea74!8m2!3d39.8182139!4d-86.2270243!16s%2Fg%2F1td4f91n!19sChIJtX_C1GlWa4gRdOpqkCNae18?authuser=0&hl=en&rclk=1
Treasure Mart Antique Mall,116 W Alto Rd,4.6,Antique store,https://www.google.com/maps/place/Treasure+Mart+Antique+Mall/data=!4m7!3m6!1s0x881484fd780a81a1:0x26bf662a19f0116!8m2!3d40.4411272!4d-86.1321631!16s%2Fg%2F1vf9czpc!19sChIJoYEKeP2EFIgRFgGfoWL2awI?authuser=0&hl=en&rclk=1
Newfangled Confections,1340 N Illinois St,4.5,Confectionery,https://www.google.com/maps/place/Newfangled+Confections/data=!4m7!3m6!1s0x886b50ed17be060b:0xad35d08c057b44b!8m2!3d39.785172!4d-86.1595736!16s%2Fg%2F1q64bvs6y!19sChIJCwa-F-1Qa4gRS7RXwAhd0wo?authuser=0&hl=en&rclk=1
Barnes & Noble at IUPUI,"IUPUI, 420 University Blvd Suite #155",3.9,Book store,https://www.google.com/maps/place/Barnes+%26+Noble+at+IUPUI/data=!4m7!3m6!1s0x886b573b073c9307:0x9fd0dd9a5ce254c2!8m2!3d39.7737482!4d-86.1763077!16s%2Fg%2F1tgwnfjr!19sChIJB5M8BztXa4gRwlTiXJrd0J8?authuser=0&hl=en&rclk=1
Underground Printing Indianapolis,350 Massachusetts Ave # 300,4.7,Custom t-shirt store,https://www.google.com/maps/place/Underground+Printing+Indianapolis/data=!4m7!3m6!1s0x886b509ac14a3525:0x82bafb249bddc8c2!8m2!3d39.7724063!4d-86.1531092!16s%2Fg%2F11d_8m65mp!19sChIJJTVKwZpQa4gRwsjdmyT7uoI?authuser=0&hl=en&rclk=1
Jos A. Bank,8487 Union Chapel Rd STE 500,4.1,Men's clothing store,https://www.google.com/maps/place/Jos+A.+Bank/data=!4m7!3m6!1s0x886b52b10f4d52c7:0xe05cc99978244a33!8m2!3d39.9088693!4d-86.1067982!16s%2Fg%2F1tfh_b6_!19sChIJx1JND7FSa4gRM0okeJnJXOA?authuser=0&hl=en&rclk=1
Rooftop Fruit (fka Onatah General),1058 Virginia Ave,5,General store,https://www.google.com/maps/place/Rooftop+Fruit+(fka+Onatah+General)/data=!4m7!3m6!1s0x886b5a7ff3e7ebcd:0x9ba35ae1eca1a9e0!8m2!3d39.7527094!4d-86.1402159!16s%2Fg%2F11fz7t1k8y!19sChIJzevn839aa4gR4Kmh7OFao5s?authuser=0&hl=en&rclk=1
Jefferson Pointe Shopping Center,4130 W Jefferson Blvd,4.4,Shopping mall,https://www.google.com/maps/place/Jefferson+Pointe+Shopping+Center/data=!4m7!3m6!1s0x8815e69cb9177c35:0x4991fad7587f2a7!8m2!3d41.0718678!4d-85.1970481!16s%2Fm%2F06_vd1z!19sChIJNXwXuZzmFYgRp_KHda0fmQQ?authuser=0&hl=en&rclk=1
Mass Ave Knit Shop,862 Virginia Ave,4.7,Store,https://www.google.com/maps/place/Mass+Ave+Knit+Shop/data=!4m7!3m6!1s0x886b5082e1631a5f:0x5d60580ec7ad642b!8m2!3d39.7554244!4d-86.1429672!16s%2Fg%2F1vlk299c!19sChIJXxpj4YJQa4gRK2Stxw5YYF0?authuser=0&hl=en&rclk=1
Elegant Stylez,2202 Yandes St,3.1,Barber shop,https://www.google.com/maps/place/Elegant+Stylez/data=!4m7!3m6!1s0x886b48e9328ab50f:0x69ba330afe88371a!8m2!3d39.797895!4d-86.1384663!16s%2Fm%2F02rcbvx!19sChIJD7WKMulIa4gRGjeI_gozumk?authuser=0&hl=en&rclk=1
South Bend Chocolate Co,30 Monument Cir,4.1,Chocolate shop,https://www.google.com/maps/place/South+Bend+Chocolate+Co/data=!4m7!3m6!1s0x886b50be55555555:0x91cae71292911267!8m2!3d39.7679594!4d-86.1584574!16s%2Fg%2F1vq75lxn!19sChIJVVVVVb5Qa4gRZxKRkhLnypE?authuser=0&hl=en&rclk=1
Centerville Antique Mall,200 Union St,3.8,Antique store,https://www.google.com/maps/place/Centerville+Antique+Mall/data=!4m7!3m6!1s0x886aaba35a69b189:0xcfcb63ca783f1565!8m2!3d39.8229411!4d-84.9978202!16s%2Fg%2F1tf_j4gn!19sChIJibFpWqOraogRZRU_eMpjy88?authuser=0&hl=en&rclk=1
Kroger,2630 W Michigan St,3.5,Grocery store,https://www.google.com/maps/place/Kroger/data=!4m7!3m6!1s0x886b576d4450bf87:0x94c3a3e033ceb6e4!8m2!3d39.7757946!4d-86.2046307!16s%2Fg%2F1v3dswd_!19sChIJh79QRG1Xa4gR5LbOM-Cjw5Q?authuser=0&hl=en&rclk=1
Bath & Body Works,49 W Maryland St,4.5,Beauty supply store,https://www.google.com/maps/place/Bath+%26+Body+Works/data=!4m7!3m6!1s0x886b50bc7d454c59:0xc386755e444ec5b0!8m2!3d39.7661523!4d-86.1596031!16s%2Fg%2F1tgk1ctj!19sChIJWUxFfbxQa4gRsMVORF51hsM?authuser=0&hl=en&rclk=1
Coat Check Coffee,401 E Michigan St,4.7,Coffee shop,https://www.google.com/maps/place/Coat+Check+Coffee/data=!4m7!3m6!1s0x886b50eb52c11055:0x23e6a534e092ec1f!8m2!3d39.7736134!4d-86.1502333!16s%2Fg%2F11c6f1g6f6!19sChIJVRDBUutQa4gRH-yS4DSl5iM?authuser=0&hl=en&rclk=1
At Home,3015 W 86th St,4.2,Home goods store,https://www.google.com/maps/place/At+Home/data=!4m7!3m6!1s0x886b556928a9097d:0xbadf5a04d2e8699c!8m2!3d39.9099918!4d-86.2141208!16s%2Fg%2F11fjqk3p7j!19sChIJfQmpKGlVa4gRnGno0gRa37o?authuser=0&hl=en&rclk=1
The Antique Market,"3707 N. E, Frontage Rd",4.4,Antique store,https://www.google.com/maps/place/The+Antique+Market/data=!4m7!3m6!1s0x881109dcf4cc80bf:0x84c54c169788c97!8m2!3d41.6638425!4d-86.8920837!16s%2Fg%2F1tf58hcj!19sChIJv4DM9NwJEYgRl4x4acFUTAg?authuser=0&hl=en&rclk=1
City Mall Shopping Center,,3.9,Shopping mall,https://www.google.com/maps/place/City+Mall+Shopping+Center/data=!4m7!3m6!1s0x8811e9049ec5a1f1:0x30901593fd374676!8m2!3d41.5204771!4d-87.3373411!16s%2Fg%2F11dx8n9w22!19sChIJ8aHFngTpEYgRdkY3_ZMVkDA?authuser=0&hl=en&rclk=1
VINTAGE ANTIQUE MARKETPLACE,111 S Harrison St,4.6,Home goods store,https://www.google.com/maps/place/VINTAGE+ANTIQUE+MARKETPLACE/data=!4m7!3m6!1s0x8815d65a0e56d1e9:0x6256b29b398f205a!8m2!3d41.3251559!4d-85.698816!16s%2Fg%2F11f0kt5zst!19sChIJ6dFWDlrWFYgRWiCPOZuyVmI?authuser=0&hl=en&rclk=1
Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A",4.7,Museum,https://www.google.com/maps/place/Rhythm!+Discovery+Center/data=!4m7!3m6!1s0x886b50bb8e098813:0x7362c4c5f00adea1!8m2!3d39.767311!4d-86.1600743!16s%2Fg%2F119vwxtlf!19sChIJE4gJjrtQa4gRod4K8MXEYnM?authuser=0&hl=en&rclk=1
